Latitude,Longitude,VSA_BPL
39.783305,-105.064763,114.7206287
39.783295,-105.064447,114.6234076
39.783285,-105.064133,113.4662057
39.783275,-105.063822,113.8864702
39.783265,-105.063512,113.260108
39.783255,-105.063205,115.0711858
39.783247,-105.062902,115.8397143
39.783238,-105.062602,116.4482234
39.783233,-105.062302,117.5411165
39.78323,-105.062003,125.1532862
39.783228,-105.061705,113.4639706
39.783227,-105.061407,117.7868263
39.783227,-105.061107,128.3388365
39.783228,-105.060805,127.7350847
39.78323,-105.060503,130.0651127
39.783233,-105.060202,130.0334973
39.783235,-105.0599,134.6503003
39.783238,-105.059598,133.4186837
39.78324,-105.059297,137.6410691
39.783243,-105.058995,135.9394514
39.783245,-105.058693,138.0843726
39.783247,-105.058388,136.5777209
39.783248,-105.058083,136.3992608
39.78325,-105.057777,132.3554913
39.78325,-105.057468,137.4184078
39.783252,-105.05716,139.0138302
39.783253,-105.056848,138.4582499
39.783257,-105.056537,136.9452603
39.78326,-105.056223,138.5760658
39.783263,-105.055908,140.5232122
39.783267,-105.055593,139.8647102
39.78327,-105.05528,136.6398384
39.783273,-105.054967,133.8981393
39.78328,-105.054655,138.6640496
39.783295,-105.054345,136.7346794
39.78332,-105.054038,135.5232465
39.783362,-105.053735,136.3057495
39.783417,-105.053437,139.0365343
39.78349,-105.053148,133.4936194
39.783577,-105.052868,137.8848849
39.783675,-105.052598,141.9206538
39.783787,-105.052338,137.6667293
39.783907,-105.052083,139.9697519
39.784033,-105.051832,139.4106525
39.784163,-105.05158,138.4270535
39.784292,-105.051325,138.8623349
39.784417,-105.051067,137.5428163
39.784535,-105.050802,135.2928271
39.784643,-105.050532,133.4062186
39.784737,-105.050255,130.925461
39.784813,-105.049973,132.9449057
