Latitude,Longitude,VSA_BPL,,,,,,
39.749542,-104.998697,148.3640567,,,,,,
39.7496,-104.998625,150.1439826,,,,,,
39.749725,-104.998468,148.0715027,,,,,,
39.749788,-104.998383,145.539859,,,,,,
39.74985,-104.998298,142.485498,,,,,,
39.749913,-104.998213,144.6306202,,,,,,
39.75005,-104.998038,143.2197548,,,,,,
39.750118,-104.997948,148.1673332,,,,,,
39.750188,-104.997858,147.4111918,,,,,,
39.750257,-104.997772,148.2952941,,,,,,
39.750398,-104.997603,150.553852,,,,,,
39.750472,-104.99752,150.5747255,,,,,,
39.750545,-104.997437,148.9563253,,,,,,
39.750617,-104.99735,145.3606482,,,,,,
39.75076,-104.997172,142.247166,,,,,,
39.750832,-104.997083,148.3289948,,,,,,
39.750905,-104.996997,151.2733505,,,,,,
39.750977,-104.996913,151.6732116,,,,,,
39.751115,-104.99674,147.8639473,,,,,,
39.751182,-104.99665,149.9416854,,,,,,
39.75125,-104.99656,151.1583737,,,,,,
39.751317,-104.996472,151.6841718,,,,,,
39.751447,-104.996308,153.9716813,,,,,,
39.751505,-104.996235,152.0529239,,,,,,
39.751557,-104.996172,150.5907045,,,,,,
39.751603,-104.996115,151.4335942,,,,,,
39.751673,-104.996028,151.8030059,,,,,,
39.751695,-104.996002,149.4894712,,,,,,
39.751707,-104.995987,149.87038,,,,,,
39.751717,-104.995977,148.7070857,,,,,,
39.751757,-104.995953,144.9247036,,,,,,
39.751792,-104.995948,145.3261629,,,,,,
39.751835,-104.995958,142.7688244,,,,,,
39.75188,-104.995988,141.8491457,,,,,,
39.75202,-104.996152,141.6891252,,,,,,
39.752075,-104.996222,142.2602471,,,,,,
39.752132,-104.996295,144.7666945,,,,,,
39.752245,-104.99645,140.6246138,,,,,,
39.752298,-104.99652,141.6288882,,,,,,
39.752347,-104.996583,139.7709677,,,,,,
39.752383,-104.996642,142.4185114,,,,,,
39.75241,-104.996755,147.388645,,,,,,
39.752395,-104.996812,147.8537423,,,,,,
39.752365,-104.996863,148.9744491,,,,,,
39.752327,-104.996917,147.5896028,,,,,,
39.752228,-104.997037,148.1723275,,,,,,
39.752172,-104.997103,148.8518428,,,,,,
39.752112,-104.997177,146.5880362,,,,,,
39.75205,-104.997253,145.7329424,,,,,,
39.751928,-104.997408,147.8756676,,,,,,
39.751868,-104.997488,148.0407422,,,,,,
39.751808,-104.997567,147.5362476,,,,,,
39.751748,-104.997643,146.4338839,,,,,,
39.751628,-104.997797,143.0199365,,,,,,
39.75157,-104.997873,143.6897665,,,,,,
39.751512,-104.997947,146.8743988,,,,,,
39.75145,-104.998018,145.3230951,,,,,,
39.751325,-104.998163,148.1938852,,,,,,
39.751258,-104.998238,147.8122494,,,,,,
39.751127,-104.9984,152.6820435,,,,,,
39.750995,-104.998567,144.2496168,,,,,,
39.750927,-104.998652,139.8395947,,,,,,
39.750858,-104.998735,145.3674891,,,,,,
39.750792,-104.998818,145.9287701,,,,,,
39.750662,-104.998977,143.3505192,,,,,,
39.7506,-104.999057,148.1589835,,,,,,
39.750538,-104.999138,150.2246435,,,,,,
39.750477,-104.999222,151.714716,,,,,,
39.750352,-104.999388,152.0864624,,,,,,
39.750288,-104.99947,152.922867,,,,,,
39.750227,-104.999555,148.3129181,,,,,,
39.750167,-104.999642,148.2476306,,,,,,
39.750045,-104.999807,150.3969926,,,,,,
39.749985,-104.999885,148.980736,,,,,,
39.749927,-104.999962,152.9618653,,,,,,
39.749872,-105.000037,153.2709058,,,,,,
39.749787,-105.000168,152.1112415,,,,,,
39.749758,-105.000215,154.3408489,,,,,,
39.749747,-105.000235,157.244253,,,,,,
39.749745,-105.000238,156.7346138,,,,,,
39.749747,-105.000237,160.241818,,,,,,
39.749748,-105.000235,157.1713061,,,,,,
39.749748,-105.000235,155.5234662,,,,,,
39.74975,-105.000233,152.1722789,,,,,,
39.749752,-105.000232,156.5228172,,,,,,
39.749753,-105.00023,154.956761,,,,,,
39.749755,-105.00023,158.2783708,,,,,,
39.749755,-105.00023,154.4751906,,,,,,
39.749752,-105.000238,152.2005935,,,,,,
39.749747,-105.000247,153.5411889,,,,,,
39.749745,-105.000252,153.8653035,,,,,,
39.749747,-105.000252,152.9762781,,,,,,
39.749743,-105.000262,150.8766746,,,,,,
39.749737,-105.000285,146.9021136,,,,,,
39.749735,-105.000322,146.5342018,,,,,,
39.749745,-105.000365,149.0315668,,,,,,
39.7498,-105.000458,148.7995537,,,,,,
39.74984,-105.000507,147.2640243,,,,,,
39.749885,-105.000558,145.4760566,,,,,,
39.749933,-105.000617,146.8307874,,,,,,
39.750032,-105.000742,145.3032885,,,,,,
39.750082,-105.000807,143.4993626,,,,,,
39.750128,-105.000868,147.4950376,,,,,,
39.750173,-105.00093,144.718687,,,,,,
