Distance,Measured,Free Space loss Predicted,ITM Predicted,DNN Predicted,ITM Squared Error,DNN Squared Error,Free Space Loss Squared Error,,,,,,
11089.4913789098,150.9622248,124.2295934396,153.1210505306,146.598,4.6605285349,18.9592736089,714.6335794528,,,,,,
11089.4237620889,148.9389313,124.2295404783,153.1084954552,146.608,17.385265244,5.4940139391,610.5539947818,,,,,,
11088.749930474,148.6449885,124.2290126776,153.1035785985,146.595,19.8790256665,4.2517965741,596.1398753589,,,,,,
11087.6359881424,145.5312832,124.2281400755,153.0835505237,146.583,57.036741728,1.097710493,453.8239069808,,,,,,
11082.0463376706,143.8822113,124.2237601221,152.9811191775,146.579,82.790124563,7.2726692924,386.4547027134,,,,,,
11077.6996294467,139.7674382,124.2203525895,153.034512959,146.579,176.0152726608,46.4246244024,241.7118709799,,,,,,
11072.4457222638,143.2765916,124.2162320875,153.1453525579,146.581,97.3924428443,10.8333692556,363.2973047443,,,,,,
11066.4298312533,142.5582693,124.2115115798,153.2433229756,146.568,114.1703720495,15.3878161447,336.6035188437,,,,,,
11051.9829941054,140.0981325,124.2001650468,153.6804889059,146.481,184.4804055372,40.5624732326,252.7453691442,,,,,,
11044.3859849416,140.550402,124.1941924106,154.1405667609,146.467,184.6925782278,33.5889561776,267.5255921311,,,,,,
11036.649084446,140.5661168,124.1881055704,154.88179485,146.346,204.93863803,33.2915521416,268.2392518375,,,,,,
11020.8330349944,137.9951203,124.1756493451,155.4280532741,146.336,303.9071520797,68.9876375909,190.9777774743,,,,,,
11013.147819187,141.982809,124.1695902548,155.3719060692,146.301,179.2679203295,18.6554108945,317.310762063,,,,,,
11005.8253184887,142.2997457,124.1638131975,155.0191028193,146.302,161.7820455291,16.3640823517,328.9120477356,,,,,,
10998.9225849987,141.8331895,124.1583637932,154.6970346098,146.345,165.4785110085,20.2482945359,312.399463764,,,,,,
10992.9734075247,143.6978925,124.1536644349,154.8307453072,146.333,123.9404116278,6.7086568616,381.9768506614,,,,,,
10981.4743474171,142.170399,124.1445739151,155.0377783017,146.288,165.5694500935,16.9217131872,324.930369992,,,,,,
10976.5410861561,147.2005561,124.1406710338,155.0453085383,146.284,61.5401408181,0.8492656454,531.7582992657,,,,,,
10972.8670050749,147.1648042,124.1377631957,155.051387446,146.279,62.1981952954,0.7864216891,530.2446174153,,,,,,
10970.0894051954,140.375561,124.135564228,155.0480189154,146.278,215.2810212782,34.7915826367,263.7374951555,,,,,,
10966.8350663962,142.3776582,124.1329871276,155.1073590623,146.274,162.0452840444,15.1814794224,332.8680225393,,,,,,
10966.4670827479,142.1571663,124.1326956744,155.1459649623,146.274,168.7088906909,16.9483197135,324.8815413317,,,,,,
10966.4670827479,141.130965,124.1326956744,155.1459649623,146.274,196.4202239445,26.4508090112,288.9411600643,,,,,,
10966.4670827479,141.5203643,124.1326956744,155.1459649623,146.274,185.6569934096,22.5970523683,302.3310202323,,,,,,
10966.4670827479,141.3936174,124.1326956744,155.1459649623,146.274,189.1270634755,23.8669631484,297.939418816,,,,,,
10966.4359400029,141.6714373,124.1326710081,155.1459517237,146.279,181.5625389549,21.174379282,307.6083230427,,,,,,
